27 Jun 2009,Australia,22,6,France
13 Aug 1977,New Zealand,10,9,Lions
02 Feb 1980,France,13,17,England
06 Apr 1975,Spain,3,19,Italy
14 Dec 1980,Netherlands,17,0,Serbia & Montenegro
09 Feb 1907,Ireland,17,9,England
08 Oct 2011,Ireland,10,22,Wales
26 May 1956,Australia,0,9,South Africa
25 Feb 2006,France,37,12,Italy
12 Nov 1927,Ireland,3,5,Australia
09 May 2009,Ukraine,32,0,Moldova
26 Apr 2008,Poland,55,0,Latvia
28 Mar 1910,France,3,8,Ireland
15 Nov 1986,Belgium,24,3,West Germany
27 Feb 1904,Ireland,3,19,Scotland
17 Oct 1992,England,26,13,Canada
05 Jun 2003,Israel,30,13,Norway
30 Oct 2010,Colombia,26,28,Venezuela
29 Oct 2005,Poland,18,14,Andorra
12 May 1996,Poland,9,40,Romania
19 Jun 2008,Brazil,34,6,Colombia
31 Mar 1968,Spain,14,5,Portugal
06 Apr 1975,Poland,24,20,Netherlands
23 Nov 2002,Korea,22,20,Japan
08 Jul 2012,Madagascar,57,54,Namibia
