player,team,from,to,played,start,sub,pts,tries,conv,pens,drop,gfm,won,lost,draw
JT Rokocoko,NZ,2003,2010,68,66,2,230,46,0,0,0,0,55,13
C Dominici,Fra,1998,2007,67,59,8,125,25,0,0,0,0,44,23
SH Easterby,Ire/Lions,2000,2008,67,59,8,45,9,0,0,0,0,43,23
AG Hastings,Lions/Scot,1986,1995,67,67,0,733,18,87,160,0,0,35,30
S Hastings,Lions/Scot,1986,1997,67,65,2,43,10,0,0,0,0,36,29
DJ Herbert,Aust,1994,2002,67,66,1,55,11,0,0,0,0,50,16
MJ Horan,Ire,2000,2011,67,48,19,30,6,0,0,0,0,44,23
CR Jack,NZ,2001,2007,67,59,8,25,5,0,0,0,0,57,10
PN Kearns,Aust,1989,1999,67,65,2,34,8,0,0,0,0,50,17
G Labadze,Georg,1996,2012,67,64,3,60,12,0,0,0,0,39,25
MS MacDonald,USA,2000,2012,67,56,11,30,6,0,0,0,0,21,46
DA Parks,Scot,2004,2012,67,47,20,266,4,15,55,17,0,25,41
TJ Smith,Lions/Scot,1997,2005,67,67,0,30,6,0,0,0,0,29,37
JJ Thomas,Wales,2003,2011,67,40,27,35,7,0,0,0,0,30,34
LD Tuqiri,Aust,2003,2008,67,59,8,150,30,0,0,0,0,40,26
A Zanni,Italy,2005,2012,67,49,18,10,2,0,0,0,0,21,45
JW Hook,Wales,2006,2012,66,48,18,346,13,43,61,4,0,29,35
A Kuzin,Russ,1997,2011,66,57,9,95,19,0,0,0,0,31,32
BP Lima,PI/Samoa,1991,2007,66,62,4,140,29,0,0,0,0,31,33
H Porta,Arg/SthAm,1971,1990,66,66,0,651,12,90,114,28,0,26,35
GM Somerville,NZ,2000,2008,66,48,18,5,1,0,0,0,0,55,11
WU Stanley,Can,1994,2003,66,64,2,123,24,0,0,1,0,27,38
SM Taylor,Scot,2000,2009,66,65,1,30,6,0,0,0,0,29,37
G Uva,Port,2004,2012,66,61,5,25,5,0,0,0,0,23,39
AG Venter,SA,1996,2001,66,57,9,45,9,0,0,0,0,41,24
PAT Weepu,NZ,2004,2012,66,23,43,103,7,10,16,0,0,58,7
D Cuesta Silva,Arg/SthAm,1983,1995,65,65,0,125,28,0,0,0,0,31,32
CI Fernandez Lobbe,Arg,1996,2008,65,60,5,30,6,0,0,0,0,33,32
OJ Hasan Jalil,Arg,1995,2007,65,48,17,20,4,0,0,0,0,34,30
JF Slattery,Ire/Lions,1970,1984,65,65,0,12,3,0,0,0,0,27,30
O Tonita,Rom,2000,2011,65,61,4,60,12,0,0,0,0,35,28
PJ Winterbottom,Eng/Lions,1982,1993,65,65,0,13,3,0,0,0,0,32,31
JCG Correia,Port,2003,2012,64,58,6,20,4,0,0,0,0,25,36
S Dellape,Italy,2002,2011,64,53,11,15,3,0,0,0,0,18,45
F Galthie,Fra,1991,2003,64,58,6,49,10,0,0,0,0,38,25
IM Gough,Wales,1998,2010,64,52,12,5,1,0,0,0,0,30,30
AF Jacobsen,Scot,2002,2012,64,51,13,0,0,0,0,0,0,24,39
BJ Kay,Eng/Lions,2001,2009,64,49,15,10,2,0,0,0,0,44,19
BJ Paulse,SA,1999,2007,64,58,6,130,26,0,0,0,0,36,27
DS Stewart,Can,1989,2001,64,62,2,84,5,9,14,0,0,29,34
P Vaccari,Italy,1991,2003,64,63,1,107,22,0,0,0,0,27,36
I Zedginidze,Georg,1998,2011,64,62,2,65,13,0,0,0,0,37,23
SB Betsen Tchoua,Fra,1997,2007,63,50,13,45,9,0,0,0,0,43,19
MJ Cockbain,Aust,1997,2003,63,34,29,5,1,0,0,0,0,46,16
M Crauste,Fra,1957,1966,63,63,0,30,10,0,0,0,0,38,16
CP Cusiter,Lions/Scot,2004,2012,63,36,27,15,3,0,0,0,0,22,39
B Dauga,Fra,1964,1972,63,63,0,34,11,0,0,0,0,30,26
MD Dumbrava,Rom,2002,2012,63,48,15,378,3,69,73,2,0,41,21
GO Edwards,Lions/Wales,1967,1978,63,63,0,91,20,2,1,4,0,40,15
NC Farr-Jones,Aust,1984,1993,63,62,1,37,9,0,0,0,0,42,20
DA Hickie,Ire/Lions,1997,2007,63,63,0,145,29,0,0,0,0,40,22
T Ito,Japan,1996,2005,63,40,23,30,6,0,0,0,0,26,36
JJ Kirwan,NZ,1984,1994,63,62,1,143,35,0,0,0,0,48,12
JT Lomu,NZ,1994,2002,63,54,9,185,37,0,0,0,0,44,17
DJ Rossouw,SA,2003,2011,63,42,21,50,10,0,0,0,0,40,22
S Sititi,PI/Samoa,1999,2009,63,51,12,85,17,0,0,0,0,33,30
CG Smith,NZ,2004,2012,63,59,4,115,23,0,0,0,0,56,6
D Szarzewski,Fra,2004,2012,63,32,31,30,6,0,0,0,0,40,22
DJ Vickerman,Aust,2002,2011,63,41,22,0,0,0,0,0,0,38,24
JPR Williams,Lions/Wales,1969,1981,63,63,0,39,6,2,3,1,0,42,15
KGM Wood,Ire/Lions,1994,2003,63,60,3,75,15,0,0,0,0,26,36
T Zibzibadze,Georg,2000,2012,63,57,6,85,17,0,0,0,0,39,21
RD Best,Ire,2005,2012,62,42,20,35,7,0,0,0,0,34,27
RM Brooke,NZ,1992,1999,62,61,1,20,4,0,0,0,0,47,13
S Chabal,Fra,2000,2011,62,33,29,30,6,0,0,0,0,35,26
MRD D'Orey Branco,Port,1996,2012,62,57,5,25,5,0,0,0,0,33,25
PF du Preez,SA,2004,2011,62,50,12,65,13,0,0,0,0,43,18
AG Foley,Ire,1995,2005,62,59,3,25,5,0,0,0,0,37,24
RW Ford,Lions/Scot,2004,2012,62,51,11,10,2,0,0,0,0,26,35
A Giorgadze,Georg,1996,2011,62,53,9,60,12,0,0,0,0,37,23
L Gross,USA,1996,2003,62,61,1,0,0,0,0,0,0,21,41
DC Howlett,NZ,2000,2007,62,55,7,245,49,0,0,0,0,51,10
M Kvirikashvili,Georg,2003,2012,62,45,17,343,6,77,51,2,0,35,26
M Paraschiv,Rom,1975,1987,62,60,2,24,6,0,0,0,0,40,20
M Portela de Morais,Port,1996,2010,62,57,5,33,6,0,1,0,0,27,31
G Shvelidze,Georg,1998,2011,62,50,12,35,7,0,0,0,0,36,23
RGA Snow,Can,1995,2007,62,59,3,40,8,0,0,0,0,27,33
R So'oialo,NZ,2002,2009,62,53,9,30,6,0,0,0,0,53,9
CM Chalmers,Lions/Scot,1989,1999,61,58,3,172,5,11,33,10,0,28,31
V Clerc,Fra,2002,2012,61,51,10,160,32,0,0,0,0,38,21
J Condom,Fra,1982,1990,61,60,1,0,0,0,0,0,0,38,19
R Howley,Lions/Wales,1996,2002,61,60,1,50,10,0,0,0,0,29,31
H Ono,Japan,2004,2012,61,50,11,50,10,0,0,0,0,34,24
R Pienaar,SA,2006,2012,61,26,35,130,7,22,17,0,0,39,19
O Roumat,Fra,1989,1996,61,58,3,23,5,0,0,0,0,35,25
S Socol,Rom,2001,2011,61,56,5,40,8,0,0,0,0,36,23
TM Vaega,Samoa,1986,2001,61,56,5,71,12,4,3,0,0,35,25
GW Weir,Scot,1990,2000,61,53,8,19,4,0,0,0,0,24,35
D Yachvili,Fra,2002,2012,61,35,26,373,2,51,85,2,0,37,23
F Corodeanu,Rom,1997,2009,60,56,4,55,11,0,0,0,0,31,29
TI Dimofte,Rom,2004,2011,60,50,10,87,12,3,7,0,0,34,24
CW Dowd,NZ,1993,2000,60,50,10,10,2,0,0,0,0,47,13
MA Durand,Arg,1997,2008,60,39,21,45,9,0,0,0,0,38,22
S Ghizzoni,Italy,1977,1987,60,59,1,77,17,0,0,3,0,27,30
M Giovanelli,Italy,1989,2000,60,56,4,19,4,0,0,0,0,27,32
AR Irvine,Lions/Scot,1972,1982,60,60,0,301,12,26,67,0,0,22,34
RST Kefu,Aust,1997,2003,60,52,8,50,10,0,0,0,0,40,19
PM Leal,Port,2004,2012,60,49,11,152,5,26,25,0,0,20,36
DA Mitchell,Aust,2005,2012,60,46,14,150,30,0,0,0,0,30,28
BW Redpath,Scot,1993,2003,60,52,8,5,1,0,0,0,0,28,31
B Samkharadze,Georg,2004,2012,60,22,38,30,6,0,0,0,0,37,21
IR Tofan,Rom,1997,2007,60,40,20,316,12,53,46,4,0,31,29
JW Wilson,NZ,1993,2001,60,60,0,234,44,1,3,1,0,45,14
P Benetton,Fra,1989,1999,59,47,12,34,7,0,0,0,0,39,19
FE Bunce,NZ/Samoa,1991,1997,59,59,0,100,21,0,0,0,0,44,13
G Chkhaidze,Georg,2002,2012,59,51,8,25,5,0,0,0,0,38,20
C Heymans,Fra,2000,2011,59,46,13,80,16,0,0,0,0,37,20
PS Johns,Ire,1990,2000,59,57,2,20,4,0,0,0,0,22,36
B Khamashuridze,Georg,1998,2011,59,50,9,70,14,0,0,0,0,33,24
TJ Kiernan,Ire/Lions,1960,1973,59,59,0,193,2,27,42,2,0,23,28
AD Oliver,NZ,1997,2007,59,53,6,15,3,0,0,0,0,42,17
