date,home_team,away_team,home_tries,home_penalties,home_conversions,home_drop_goals,away_tries,away_penalties,away_conversions,away_drop_goals
2011-06-25,Crusaders,Sharks,3,5,3,0,1,1,0,0
2011-07-02,Reds,Blues,4,1,2,1,1,2,1,0
2011-07-02,Stormers,Crusaders,1,1,1,0,2,5,2,0
2011-07-09,Reds,Crusaders,2,2,1,0,1,2,1,0
2010-02-12,Blues,Hurricanes,2,2,2,68,1,9,1,2
2010-02-12,Force,Brumbies,0,5,0,0,3,1,3,2
2010-02-12,Cheetahs,Bulls,3,6,2,0,6,3,6,2
2010-02-13,Crusaders,Highlanders,4,2,3,0,2,1,2,2
2010-02-13,Reds,Waratahs,3,2,3,0,2,5,1,1
2010-02-13,Lions,Stormers,1,2,1,0,2,4,2,2
2010-02-13,Sharks,Chiefs,0,6,0,0,1,4,1,2
2010-02-19,Highlanders,Blues,2,1,1,0,3,0,2,0
2010-02-19,Reds,Crusaders,4,5,3,0,2,2,1,0
2010-02-19,Sharks,Cheetahs,1,5,0,0,1,5,1,1
2010-02-20,Lions,Chiefs,9,2,6,0,9,3,9,0
2010-02-20,Hurricanes,Force,7,2,3,0,3,1,2,2
2010-02-20,Bulls,Brumbies,5,5,5,0,3,4,1,2
2010-02-20,Stormers,Waratahs,3,2,3,0,0,2,0,2
2010-02-26,Crusaders,Sharks,4,3,3,0,0,2,0,0
2010-02-26,Stormers,Brumbies,1,4,0,0,1,4,1,2
2010-02-27,Hurricanes,Lions,4,3,2,0,2,2,1,2
2010-02-27,Reds,Blues,2,2,1,0,4,1,2,2
2010-02-27,Force,Chiefs,1,4,1,0,4,3,4,2
2010-02-27,Cheetahs,Highlanders,2,4,1,0,3,4,2,2
2010-02-27,Bulls,Waratahs,6,2,6,0,4,3,3,2
2010-03-05,Chiefs,Reds,3,1,0,0,2,3,2,0
2010-03-05,Brumbies,Lions,3,1,3,0,1,2,1,0
2010-03-06,Crusaders,Blues,3,4,3,0,1,4,0,2
2010-03-06,Waratahs,Sharks,3,2,2,0,2,2,1,1
2010-03-06,Stormers,Highlanders,4,3,2,0,0,0,0,2
2010-03-06,Cheetahs,Hurricanes,1,7,1,0,2,0,1,0
2010-03-12,Chiefs,Crusaders,1,4,1,0,2,4,2,2
2010-03-12,Waratahs,Lions,11,0,9,0,2,0,1,0
2010-03-13,Brumbies,Sharks,2,4,1,0,1,5,1,0
2010-03-13,Bulls,Highlanders,6,1,6,0,5,0,4,0
2010-03-14,Stormers,Hurricanes,5,2,2,0,2,1,0,0
2010-03-14,Reds,W. Force,7,1,6,0,1,1,1,0
2010-03-19,Blues,Brumbies,5,1,4,1,3,5,2,0
2010-03-19,Bulls,Hurricanes,1,4,1,0,2,2,1,0
2010-03-20,Crusaders,Lions,5,5,3,0,1,4,1,0
2010-03-20,Highlanders,Sharks,1,3,1,0,3,3,3,0
2010-03-20,Force,Waratahs,1,1,1,0,1,3,0,0
2010-03-20,Stormers,Cheetahs,2,3,1,0,1,0,0,1
2010-03-26,Highlanders,Lions,3,6,3,0,5,0,2,0
2010-03-26,Brumbies,Chiefs,3,3,3,0,2,3,2,0
2010-03-27,Cheetahs,Reds,1,1,1,0,3,4,2,0
2010-03-27,Hurricanes,Sharks,2,4,2,0,2,5,2,0
2010-03-27,Waratahs,Blues,5,2,4,0,4,1,1,0
2010-03-27,Force,Bulls,0,1,0,0,3,3,2,0
2010-04-02,Hurricanes,Crusaders,2,0,4,0,3,3,1,0
2010-04-02,Force,Stormers,1,2,1,1,0,5,0,0
2010-04-03,Blues,Bulls,2,6,2,0,1,3,0,1
2010-04-03,Chiefs,Highlanders,3,2,3,0,2,2,1,1
2010-04-03,Waratahs,Cheetahs,5,3,3,0,2,1,2,0
2010-04-03,Sharks,Reds,3,3,3,0,4,0,4,0
2010-04-09,Chiefs,Bulls,1,4,1,0,4,3,2,0
2010-04-10,Highlanders,Force,3,4,0,0,6,1,4,0
2010-04-10,Blues,Stormers,3,0,1,0,3,4,2,2
2010-04-10,Crusaders,Waratahs,1,5,0,0,1,2,1,0
