date,home_team,away_team,home_tries,home_penalties,home_conversions,home_drop_goals,away_tries,away_penalties,away_conversions,away_drop_goals
2009-04-25,Netherlands,Malta,4,1,2,0,0,3,0,0
2009-03-14,Ireland,Scotland,1,4,1,1,0,5,0,0
2009-12-19,Netherlands,Hong Kong,4,1,1,0,1,1,1,0
2009-05-09,Lithuania,Armenia,4,0,2,0,1,4,1,0
2009-06-16,Italy 'A',Russia,5,0,5,0,0,1,0,0
2009-03-21,Ireland,Wales,2,0,2,1,0,4,0,1
2009-12-16,Czech  Republic,Hong Kong,2,1,2,0,1,0,0,0
2009-11-14,Moldova,Czech Republic,7,2,2,0,6,0,0,0
2009-04-25,Japan,Kazakhstan,8,0,11,0,1,1,1,0
2009-03-21,Portugal,Romania,1,5,1,0,2,3,1,0
2009-02-07,Russia,Portugal,2,2,1,0,2,0,2,0
2009-05-02,Israel,Finland,9,1,6,0,1,1,0,0
2009-03-21,Slovakia,Monaco,1,1,1,0,2,0,0,0
2009-05-02,Russia,Germany,5,2,6,0,0,0,0,0
2009-04-25,Croatia,Latvia,2,3,1,0,1,2,1,0
2009-10-10,Hungary,Slovenia,3,0,1,0,1,2,0,0
2009-01-30,England  Saxons,Portugal,10,0,8,0,0,0,0,0
2009-03-21,Andorra,Armenia,5,1,4,0,1,1,1,0
2009-09-12,Ukraine,Poland,3,0,2,0,2,0,1,0
2009-10-31,Denmark,Hungary,4,1,2,0,3,1,0,0
2009-10-03,Bulgaria,Finland,6,0,3,0,2,1,0,0
2009-03-14,Georgia,Romania,3,3,2,0,2,3,2,0
2009-05-20,Argentina  'A',Chile,11,1,8,0,0,2,0,0
2009-11-07,Luxembourg,Finland,0,3,0,0,0,1,0,0
2009-11-29,Andorra,Serbia,3,0,3,0,1,0,1,0
2009-05-02,Croatia,Sweden,3,1,2,0,2,1,0,0
2009-04-25,Greece,Luxembourg,3,0,1,0,1,3,0,0
2009-10-10,Bosnia  Herzegovina,Monaco,3,2,1,0,1,1,0,0
2009-02-14,France,Scotland,1,5,1,0,1,2,1,0
2009-05-30,Wales,Canada,2,6,2,0,2,3,2,0
2009-02-14,Portugal,Georgia,2,2,2,0,2,2,2,0
2009-02-28,Ireland,England,1,2,0,1,1,2,1,0
2009-02-07,Ireland,France,3,3,3,0,2,2,1,1
2009-05-23,Japan,Singapore,7,0,5,0,0,5,0,0
2009-04-25,Chile,Brazil,9,3,10,0,0,1,0,0
2009-02-14,Romania,Germany,3,1,2,0,0,0,0,0
2010-11-13,Belgium,Czech Republic,2,4,1,0,0,4,0,0
2010-04-24,Moldova,Ukraine,3,3,2,0,2,3,0,0
2010-11-06,Latvia,Malta,4,3,2,0,4,0,3,0
2010-04-17,Latvia,Sweden,5,0,3,0,5,1,2,0
2010-10-23,Sweden,Croatia,4,2,3,0,1,2,1,0
2010-10-02,Switzerland,Armenia,3,3,3,0,3,2,3,0
2010-11-13,Moldova,Poland,5,1,4,0,3,2,2,0
2010-06-05,Romania,Ukraine,8,2,5,0,1,0,1,0
2010-10-30,Croatia,Latvia,1,3,0,0,2,0,1,0
2010-04-24,Lithuania,Serbia,9,0,6,0,1,0,0,0
2010-09-29,Tonga,Chile,4,2,3,0,2,6,1,0
2010-12-15,Hong Kong,Norway,8,0,7,0,2,1,2,0
2010-04-24,Malta,Latvia,4,1,2,0,2,0,0,0
2010-04-03,Belgium,Czech Republic,1,3,1,1,2,2,0,0
2010-04-17,Netherlands,Malta,3,0,2,0,0,0,0,0
2010-11-20,Czech  Republic,Netherlands,3,2,2,0,2,1,0,0
2010-10-09,Czech  Republic,Poland,2,2,2,0,2,1,1,0
2010-11-20,Poland,Germany,1,5,1,0,2,1,2,0
2010-05-22,Japan,Hong Kong,10,0,12,0,1,0,0,0
2010-10-30,Lithuania,Malta,0,3,0,0,0,2,0,0
2010-11-06,Sweden,Lithuania,3,3,1,0,3,1,2,0
2010-04-24,Belgium,Poland,2,5,2,0,1,1,0,0
2010-04-24,Croatia,Netherlands,1,3,1,0,1,3,0,0
2010-05-22,Romania,Ukraine,5,0,4,0,0,1,0,0
2010-11-06,Canada,Belgium,6,0,5,0,2,0,1,0
2010-11-27,Germany,Netherlands,3,4,1,0,2,0,0,0
2011-04-16,Barbados,St Lucia,5,0,3,0,2,0,1,0
2011-05-22,Argentina,Chile,6,0,8,0,0,0,0,0
2011-11-05,Croatia,Latvia,4,2,4,0,1,0,0,1
2011-12-01,Niue,Vanuatu,4,4,0,0,2,1,0,0
2011-06-15,Namibia,Portugal,2,5,2,0,2,3,2,0
2011-05-25,Argentina,Uruguay,10,0,10,0,2,0,2,0
